word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,Val_Mean,AoA,SemD,Length,LgSUBTLWF,OLD,log_rt,max_dom_scaled
activist,680.7575757575758,0.6122879490129357,1,6,0.7307948129176532,0.8378383893673436,0.4675324675324675,6.24,11.8,1.64,8,1.708,3.2,2.832992483051157,46.75324675324675
activity,714.8387096774194,0.5648043162609475,1,4,0.8437999928476391,0.6693580481730717,0.4806201550387597,6.21,6.47,2.01,8,2.818,2.55,2.8542080622221193,48.06201550387597
actor,539.969696969697,0.0,0,1,0.0,0.0,1.0,6.15,7.17,1.21,5,3.128,1.9,2.73236938795608,100.0
actress,687.5294117647059,0.342024493723037,1,3,0.5631865819930778,0.6073022771825216,0.7870967741935484,5.42,6.17,1.27,7,2.913,2.35,2.8372912815479663,78.70967741935485
actual,623.3235294117648,0.0,0,1,0.0,0.0,1.0,6.22,6.94,2.1,6,2.947,2.45,2.794713521085517,100.0
acute,649.5294117647059,0.7180556093308645,1,6,0.8673080967193317,0.8279129550928583,0.3806451612903225,5.1,11.6,1.77,5,2.179,1.95,2.8125988214258455,38.06451612903225
ad,740.939393939394,0.4989345656317929,1,3,0.8251813915311497,0.604636229988178,0.5363636363636364,4.11,8.22,1.76,2,2.842,1.0,2.869782685774016,53.63636363636364
adapt,644.8235294117648,0.315515774120684,1,3,0.4333747665869056,0.728043712848272,0.87,5.84,9.0,1.99,5,2.13,1.95,2.8094408763579075,87.0
add,657.5454545454545,0.0,0,1,0.0,0.0,1.0,6.23,5.1,2.06,3,3.227,1.6,2.817925779938891,100.0
addict,656.8125,0.2376204760559189,1,2,0.266764987803026,0.8907483624926567,0.9545454545454546,2.86,11.17,1.2,6,2.438,2.45,2.81744140938143,95.45454545454545
addiction,625.1764705882352,0.3176716911514086,1,4,0.4167062864807457,0.7623395697585351,0.851063829787234,3.52,12.11,1.1,9,2.301,2.7,2.796002624359966,85.1063829787234
additional,678.939393939394,0.1729485635681769,1,2,0.1987074223264627,0.8703679084721567,0.9691358024691358,6.15,9.0,2.14,10,2.479,3.4,2.831831008371174,96.91358024691358
address,582.3030303030303,0.5938036230074731,1,4,0.7076587785022725,0.839110092386943,0.6303030303030303,6.11,5.15,1.98,7,3.426,2.45,2.7651490501809435,63.030303030303024
adequate,727.2121212121212,0.3822290239134606,1,5,0.7302998546614905,0.5233864165160377,0.4452054794520548,4.7,10.35,2.08,8,2.124,3.15,2.861661109118842,44.52054794520548
adhere,720.6666666666666,0.308120836071786,1,4,0.4539195503502776,0.6788005403909512,0.8308823529411765,5.17,10.78,2.01,6,1.477,2.0,2.8577344348976292,83.08823529411765
adhesive,786.8125,0.1295483812435563,1,2,0.1907090044200165,0.6792987129136263,0.9707317073170731,5.84,9.17,0.98,8,1.681,3.2,2.8958712508887596,97.07317073170731
adjacent,748.1212121212121,0.1355965629556108,1,3,0.2122428492553584,0.6388745883846894,0.95,5.15,11.05,1.85,8,1.839,3.55,2.8739719688411856,95.0
adjective,723.78125,0.0,0,1,0.0,0.0,1.0,5.95,8.6,0.82,9,1.415,2.9,2.859607328251305,100.0
adjust,661.258064516129,0.4280491204122608,1,3,0.598401449408642,0.7153209953539912,0.7520661157024794,5.76,8.43,1.96,6,2.459,2.45,2.820370981608077,75.20661157024794
adjustment,715.0333333333333,0.4954766047733562,1,6,0.6205858388947368,0.7984014035122037,0.6521739130434783,5.53,9.74,1.73,10,2.201,3.4,2.854326288158134,65.21739130434783
administration,1015.2,0.4675592437675539,1,2,0.9182958340544896,0.5091597134914259,0.6666666666666666,4.45,11.11,1.86,14,2.589,4.3,3.006551609086648,66.66666666666666
administrator,883.5294117647059,0.2297533926842373,1,4,0.3696894903049095,0.6214766681485675,0.8739495798319328,5.32,12.22,1.82,13,1.929,4.75,2.9462210112898757,87.39495798319328
admirable,807.96875,0.6190797745954084,1,7,0.869831711634975,0.7117236199997332,0.3118279569892473,7.0,11.42,1.88,9,2.127,2.6,2.9073945637881824,31.182795698924732
admiral,687.2424242424242,0.4834329455480625,1,2,0.8137000108444913,0.5941169215990743,0.7484662576687117,4.8,8.72,1.28,7,2.927,2.5,2.8371099611341375,74.84662576687117
admiration,857.8275862068965,0.5199534350630671,1,5,0.6653361440762458,0.7814898374189061,0.5079365079365079,7.58,8.95,1.81,10,2.033,2.9,2.933400008264436,50.79365079365079
admire,621.0285714285715,0.2915325134266013,1,3,0.3876239630951643,0.7521013693238262,0.8888888888888888,7.35,7.42,1.81,6,2.859,1.85,2.793111581059559,88.88888888888889
admission,694.7058823529412,0.8204670683228211,1,4,0.9937217042638786,0.8256507478928422,0.2947976878612717,5.91,8.84,1.78,9,2.26,2.85,2.8418009762352407,29.47976878612717
adobe,770.2333333333333,0.5002785789346921,1,3,0.7228472058109755,0.6920945047763176,0.6779661016949152,5.25,12.22,0.78,5,1.398,1.95,2.8866223096249057,67.79661016949152
adolescence,749.5151515151515,0.143373423718898,1,2,0.2035721978224434,0.7042878411321618,0.9681528662420382,6.0,10.42,1.36,11,1.653,4.15,2.8747804165744415,96.81528662420382
adolescent,841.21875,0.0,0,1,0.0,0.0,1.0,5.38,11.05,1.5,10,1.978,3.55,2.924908944150737,100.0
adopt,614.4117647058823,0.4289106344186099,1,6,0.5380285331527832,0.7971893830709026,0.7302631578947368,6.9,7.83,2.07,5,2.378,1.85,2.7884595229380533,73.02631578947368
adoption,685.6176470588235,0.1557086778096036,1,2,0.1811664015535456,0.8594787801400487,0.9726027397260274,6.68,7.79,1.87,8,2.38,2.75,2.836081987330598,97.26027397260275
adorable,787.060606060606,0.4913273370150094,1,3,0.8019544804130464,0.6126623755028483,0.6549707602339181,7.4,6.94,1.43,8,2.731,2.85,2.8960081756427636,65.49707602339181
adoration,801.2,0.4841716424052816,1,3,0.6561244599178145,0.7379265245894482,0.6805555555555556,6.47,11.8,1.52,9,1.491,2.55,2.903740940621539,68.05555555555556
adore,737.5454545454545,0.3331897374989864,1,3,0.4090275952291523,0.8145898745836971,0.8716216216216216,7.37,7.95,1.45,5,2.597,1.8,2.8677887908196276,87.16216216216216
adult,546.3030303030303,0.5448722312062906,1,3,0.8019577153704939,0.6794276316109344,0.5214285714285715,5.9,4.68,1.7,5,2.863,1.95,2.7374336095210525,52.142857142857146
adultery,586.6969696969697,0.6247858039313895,1,4,0.86666046315652,0.7209118570562418,0.3884892086330935,2.81,11.84,1.29,8,2.0,2.95,2.768413845081368,38.84892086330935
advance,626.65625,0.4944965409281972,1,2,0.5858732928619205,0.8440332525018186,0.859375,6.11,8.35,2.12,7,2.912,2.6,2.7970293754932953,85.9375
advanced,637.3235294117648,0.7108638044757858,1,5,0.8706516299837572,0.8164732942486395,0.3298969072164948,6.14,9.05,2.04,8,2.655,2.75,2.804359952537699,32.98969072164948
advancement,633.7714285714286,0.5825804514038107,1,6,0.7713423368312459,0.7552813110156917,0.4961832061068702,7.47,10.89,1.74,11,1.806,3.75,2.801932656606475,49.61832061068702
advantage,663.258064516129,0.607889114871623,1,4,0.7712845119062787,0.7881515906097822,0.5961538461538461,6.71,9.32,2.19,9,3.051,3.5,2.82168253924775,59.61538461538461
